Accession	MARTX	RTX	RHS	RTXactivator	Class
COG2831	0.01	0	0	1	MARTX activator
TIGR03346	0.01	0	0	0	MARTX (In combination)
COG1196	0.01	0	0	0	MARTX (In combination)
TIGR02168	0.01	0	0	0	MARTX (In combination)
TIGR02169	0.01	0	0	0	MARTX (In combination)
PRK03918	0.01	0	0	0	MARTX (In combination)
TIGR04523	0.01	0	0	0	MARTX (In combination)
PTZ00121	0.01	0	0	0	MARTX (In combination)
COG5271	0.01	0	0	0	MARTX (In combination)
PRK12704	0.01	0	0	0	MARTX (In combination)
TIGR01612	0.01	0	0	0	MARTX (In combination)
TIGR04211	0.01	0	0	0	MARTX (In combination)
cl05436	0.01	0	0	0	MARTX (In combination)
cl16241	0.01	0	0	0	MARTX (In combination)
cl22487	0.01	0	0	0	MARTX (In combination)
COG0419	0.01	0	0	0	MARTX (In combination)
COG2268	0.01	0	0	0	MARTX (In combination)
COG3064	0.01	0	0	0	MARTX (In combination)
COG3096	0.01	0	0	0	MARTX (In combination)
COG3264	0.01	0	0	0	MARTX (In combination)
COG3599	0.01	0	0	0	MARTX (In combination)
COG4372	0.01	0	0	0	MARTX (In combination)
COG4477	0.01	0	0	0	MARTX (In combination)
COG4717	0.01	0	0	0	MARTX (In combination)
COG4913	0.01	0	0	0	MARTX (In combination)
COG4942	0.01	0	0	0	MARTX (In combination)
COG5281	0.01	0	0	0	MARTX (In combination)
pfam02463	0.01	0	0	0	MARTX (In combination)
pfam03344	0.01	0	0	0	MARTX (In combination)
pfam03865	0.01	0.01	0	1	MARTX (In combination)
pfam04094	0.01	0	0	0	MARTX (In combination)
pfam04111	0.01	0	0	0	MARTX (In combination)
pfam05262	0.01	0	0	0	MARTX (In combination)
pfam05483	0.01	0	0	0	MARTX (In combination)
pfam05616	0.01	0	0	0	MARTX (In combination)
pfam05667	0.01	0	0	0	MARTX (In combination)
pfam05672	0.01	0	0	0	MARTX (In combination)
pfam05860	0.01	0	0	0	MARTX (In combination)
pfam05917	0.01	0	0	0	MARTX (In combination)
pfam07111	0.01	0	0	0	MARTX (In combination)
pfam07263	0.01	0	0	0	MARTX (In combination)
pfam07423	0.01	0	0	0	MARTX (In combination)
pfam07888	0.01	0	0	0	MARTX (In combination)
pfam08317	0.01	0	0	0	MARTX (In combination)
pfam09726	0.01	0	0	0	MARTX (In combination)
pfam09756	0.01	0	0	0	MARTX (In combination)
pfam10168	0.01	0	0	0	MARTX (In combination)
pfam10174	0.01	0	0	0	MARTX (In combination)
pfam11600	0.01	0	0	0	MARTX (In combination)
pfam12128	0.01	0	0	0	MARTX (In combination)
pfam13166	0.01	0	0	0	MARTX (In combination)
pfam13332	0.01	0	0	0	MARTX (In combination)
pfam13514	0.01	0	0	0	MARTX (In combination)
